key	prez_2008	prez_2004	prez_2000	prez_1996	prez_1992	rank	circ	daily	sun	lat	lng	st	city	paper
Portsmouth Herald	Obama		Gore	Clinton								NH	Portsmouth	Portsmouth Herald
Nashville Tennessean				Clinton								TN	Nashville	Nashville Tennessean
Yankton Daily Press and Dakotan				Dole								SD	Yankton	Yankton Daily Press and Dakotan
Eagle	Obama								0			TX	Bryan	Eagle
Fort Collins Coloradoan	Obama		Gore									CO	Fort Collins	Fort Collins Coloradoan
Times Record News	McCain	none							0			TX	Wichita Falls	Times Record News
LaCrosse Tribune	Obama								9			WI	LaCrosse	LaCrosse Tribune
Manhattan Mercury				Dole								KS	Manhattan	Manhattan Mercury
Martinsville Daily Reporter				Dole								IN	Martinsville	Martinsville Daily Reporter
San Angelo Standard-Times	Obama		Bush									TX	San Angelo	San Angelo Standard-Times
Hopkinsville Kentucky New Era				Dole								KY	Hopkinsville	Hopkinsville Kentucky New Era
Rochester Democrat and Chronicle	Obama		Gore									NY	Rochester	Rochester Democrat and Chronicle
Honolulu Advertiser		Kerry	Gore	Clinton					0			HI	Honolulu	Honolulu Advertiser
Akron Beacon-Journal	Obama	Kerry	Gore						0			OH	Akron	Akron Beacon-Journal
Statesman-Journal	Obama	Kerry	Gore	Clinton					0			OR	Salem	Statesman-Journal
Star-Tribune		Kerry							0			MN	Minneapolis	Star-Tribune
Register-Guard	Obama	Kerry	Gore						0			OR	Eugene	Register-Guard
Manchester Union Leader				Dole								NH	Manchester	Manchester Union Leader
Post-Crescent			Gore									WI	Appleton	Post-Crescent
Investors Business Daily			Bush									CA	Los Angeles	Investors Business Daily
Liberal Southwest Daily Times				Dole								KS	Liberal	Liberal Southwest Daily Times
Cullman Times				Dole								AL	Cullman	Cullman Times
Hays Daily News	Obama											KS	Hays	Hays Daily News
Sullivan Daily Times				Clinton								IN	Sullivan	Sullivan Daily Times
News-Sentinel			Bush									IN	Fort Wayne	News-Sentinel
Metrowest Daily News			Gore									MA	Framingham	Metrowest Daily News
Patriot-News			Bush									PA	Harrisburg	Patriot-News
Quad-City Times	Obama		Bush									IA	Davenport	Quad-City Times
Orlando Sentinel	Obama	Kerry	Bush						0			FL	Orlando	Orlando Sentinel
Arizona Daily Star		Kerry	Gore	Clinton					0			AZ	Tucson	Arizona Daily Star
Berkshire Eagle	Obama		Gore									MA	Pittsfield	Berkshire Eagle
Centralia Chronicle				Dole								WA	Centralia	Centralia Chronicle
Repository	Obama	Bush	Bush						0			OH	Canton	Repository
Mason City Globe Gazette	Obama	Bush							0			IA	Mason City	Mason City Globe Gazette
Chronicle	McCain											WA	Centralia	Chronicle
Wooster Daily Record				Dole								OH	Wooster	Wooster Daily Record
Boca Raton News			Gore									FL	Boca Raton	Boca Raton News
New York Observer				Dole								NY	New York City	New York Observer
Lawrence Journal-World				Dole								KS	Lawrence	Lawrence Journal-World
Tuscaloosa News	Obama	Kerry	Gore						0			AL	Tuscaloosa	Tuscaloosa News
Free Lance-Star			Bush									VA	Fredericksburg	Free Lance-Star
Ithaca Journal			Gore									NY	Ithaca	Ithaca Journal
St. Johnsbury Caledonian-Record				Dole								VT	Saint Johnsbury	St. Johnsbury Caledonian-Record
Huntington Herald-Dispatch	Obama	Kerry							0			WV	Huntington	Huntington Herald-Dispatch
Palatka Daily News	McCain								0			FL	Palatka	Palatka Daily News
Iowa City Press-Citizen			Gore									IA	Iowa City	Iowa City Press-Citizen
Patriot Ledger			Bush									MA	Quincy	Patriot Ledger
Intelligencer Journal	Obama											PA	Lancaster	Intelligencer Journal
Alliance Review				Dole								OH	Alliance	Alliance Review
Daily Reflector	Obama	Kerry							0			NC	Greenville	Daily Reflector
Marietta Times			Bush									OH	Marietta	Marietta Times
Buffalo News	Obama	Kerry	Gore						0			NY	Buffalo	Buffalo News
Clinton Herald				Dole								IA	Clinton	Clinton Herald
Spokesman-Review			Bush	Dole								WA	Spokane	Spokesman-Review
Daily Southtown			Gore									IL	Tinley Park	Daily Southtown
Star-Ledger	Obama	Kerry	Gore	Clinton					0			NJ	Newark	Star-Ledger
Elko Daily Free Press	McCain			Dole								NV	Elko	Elko Daily Free Press
Aspen Daily News	Obama	Kerry							0			CO	Aspen	Aspen Daily News
Willoughby News-Herald				Dole								OH	Willoughby	Willoughby News-Herald
Kalamazoo Gazette			Bush									MI	Kalamazoo	Kalamazoo Gazette
Asbury Park Press	Obama	Bush	Bush	Clinton					9			NJ	Asbury Park	Asbury Park Press
Press-Enterprise		Bush	Bush									CA	Riverside	Press-Enterprise
McPherson Sentinel				Dole								KS	McPherson	McPherson Sentinel
Charlotte Observer	Obama	Kerry	Gore	Clinton					0			NC	Charlotte	Charlotte Observer
Daily Times-Call	McCain	Bush							0			CO	Longmont	Daily Times-Call
Santa Fe New Mexican	Obama	Kerry		Clinton					0			NM	Santa Fe	Santa Fe New Mexican
Tulsa World		Bush	Bush	Dole					0			OK	Tulsa	Tulsa World
Sacramento Bee	Obama	Kerry	Gore	Clinton					0			CA	Sacramento	Sacramento Bee
Green Bay News Chronicle				Clinton								WI	Green Bay	Green Bay News Chronicle
Bradenton Herald	McCain	Kerry	Bush						0			FL	Bradenton	Bradenton Herald
Baltimore Sun	Obama											MD	Baltimore	Baltimore Sun
Wyoming Tribune-Eagle			Bush									WY	Cheyenne	Wyoming Tribune-Eagle
Claremont Eagle Times	McCain											NH	Claremont	Claremont Eagle Times
Knoxville News-Sentinel	McCain		Bush	Dole					0			TN	Knoxville	Knoxville News-Sentinel
Courier-Journal		Kerry	Gore						0			KY	Louisville	Courier-Journal
Gillette News-Record				Dole								WY	Gillette	Gillette News-Record
State Journal-Register			Bush									IL	Springfield	State Journal-Register
Connecticut Post			Bush	Dole								CT	Bridgeport	Connecticut Post
Record (Stockton)	Obama	Bush	Bush									CA	Stockton	Record (Stockton)
